Sector,Ticker,Model,Mean IC,Mean RankIC,Hit Rate,Sharpe Ratio,Max Drawdown
Finance,MA,Dual Fusion,0.2595883884744077,0.2268839774457752,0.8222222222222222,0.3132716585651328,-0.0062103166903426
Finance,MA,Price-Only,0.3045016611459233,0.0006572374993427,0.5974025974025974,-2.5652414882937835,-0.0098580712448105
Finance,MS,Dual Fusion,-0.0849282194419511,-0.0428283915103497,0.5573122529644269,1.1034648224496475,-0.0069573628981773
Finance,MS,Price-Only,-0.1365082729432316,-0.1543826500729642,0.4803625377643504,0.5601055905325149,-0.0122484752911275
Finance,PNC,Dual Fusion,-0.2780137098319431,-0.421536683162952,0.3297872340425531,-0.4924832905827119,-0.0058837282531811
Finance,PNC,Price-Only,-0.4276356578583886,-0.3819303338171262,0.3523809523809524,-3.399770078459501,-0.0138648695386724
Finance,PYPL,Dual Fusion,-0.1243217578056467,-0.1078602172576347,0.4756944444444444,0.270992218498167,-0.0101824970396363
Finance,PYPL,Price-Only,-0.1354584304233344,-0.2782136562624367,0.3554006968641115,-0.9862166124669248,-0.0181356375017202
Finance,SCHW,Dual Fusion,-0.109403621132719,-0.1129371314110744,0.5343511450381679,0.1993823818495964,-0.0073159977502264
Finance,SCHW,Price-Only,-0.1161363431072094,-0.070541930008131,0.5,0.3011670963744511,-0.0061252770497478
Finance,USB,Dual Fusion,-0.1338207142860245,-0.0825306646640763,0.3536585365853658,-1.1068954473935455,-0.0054335819628404
Finance,USB,Price-Only,-0.4477013067431657,-0.465951219512195,0.2983870967741935,-2.3796187574188656,-0.0109318919562403
Finance,V,Dual Fusion,0.0440908492697783,-0.0463648956611108,0.6187050359712231,-2.170698270268215,-0.0144094504305118
Finance,V,Price-Only,0.0076205974625106,-0.0286810376324442,0.5362318840579711,-2.902995267614501,-0.0103632019989862
Finance,WFC,Dual Fusion,-0.294305630499638,-0.3559718500894971,0.502262443438914,0.2422481804779547,-0.0082638147681321
Finance,WFC,Price-Only,-0.2467847765483036,-0.2903432988963994,0.4098360655737705,0.3562348937117482,-0.0046899588832554
Healthcare,ABBV,Dual Fusion,-0.1419465244112336,0.0025055799553603,0.4561403508771929,0.552909615934451,-0.0076907884608226
Healthcare,ABBV,Price-Only,0.1356684823006499,0.1890844976357759,0.6,2.4765418545895304,-0.0042002643347611
Healthcare,AMGN,Dual Fusion,-0.1187791419820016,-0.0960920706950083,0.3773584905660377,-1.281054612117354,-0.0118743352028347
Healthcare,AMGN,Price-Only,-0.1044880592420904,-0.1895586966451809,0.4590163934426229,0.3362956028425703,-0.0099822217763656
Healthcare,BIIB,Dual Fusion,-0.1393053975908698,-0.1557161326068889,0.5728900255754475,0.3479166060312459,-0.0194081881364127
